hour,laughter,total,ratio,percentage
00,425967,6085936,0.0700,7.00
01,271287,3643246,0.0745,7.45
02,158771,2232576,0.0711,7.11
03,123079,1579009,0.0779,7.79
04,103373,1270600,0.0814,8.14
05,88215,1199474,0.0735,7.35
06,112971,2185223,0.0517,5.17
07,229951,4993081,0.0461,4.61
08,292363,6346661,0.0461,4.61
09,348477,7570128,0.0460,4.60
10,412603,8333464,0.0495,4.95
11,446736,8662587,0.0516,5.16
12,473132,8930509,0.0530,5.30
13,512935,8809164,0.0582,5.82
14,498008,8695408,0.0573,5.73
15,526706,8895842,0.0592,5.92
16,595019,9311830,0.0639,6.39
17,614603,9555077,0.0643,6.43
18,617438,9588317,0.0644,6.44
19,675375,9879385,0.0684,6.84
20,637609,10069237,0.0633,6.33
21,727892,10353112,0.0703,7.03
22,676302,10171510,0.0665,6.65
23,616203,8768893,0.0703,7.03
